Title,Rating,Votes,Duration,Genre
Operation Blood Hunt,3.4,477,1h 33m,Action
The Tiger's Apprentice,5.7,2.2K,1h 24m,Action
Life After Fighting,6.4,2K,2h 6m,Action
Simarik,6.4,2.5K,1h 51m,Action
Die Hart 2: Die Harter,4.3,5.5K,1h 32m,Action
Raqa,5.7,176,1h 47m,Action
Murder Company,3.7,1.5K,1h 26m,Action
Lights Out,4.9,1.8K,1h 30m,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5.3K,1h 34m,Action
Black Creek,8.6,7,1h 56m,Action
City Hunter,6.3,5.6K,1h 42m,Action
Snow White and the Seven Samurai,3.2,286,1h 28m,Action
Hijack 1971,6.8,3.3K,1h 40m,Action
Revolver,5.4,847,1h 54m,Action
One Fast Move,5.0,2.2K,1h 48m,Action
Sixty Minutes,5.7,5.2K,1h 28m,Action
Khadaan,7.2,2.1K,2h 17m,Action
Outlaw,5.2,922,1h 22m,Action
Golden Kamuy,6.3,2.6K,2h 7m,Action
Agent Recon,2.4,669,1h 25m,Action
Freedom,5.9,1.4K,1h 50m,Action
Agni,7.3,15K,2h 2m,Action
Alien Country,4.4,361,1h 36m,Action
Utopia,3.6,357,1h 31m,Action
Angels Fallen: Warriors of Peace,4.9,5.8K,1h 43m,Action
How to Rob a Bank,6.6,4.2K,1h 28m,Action
Arena Wars,4.9,2.1K,1h 36m,Action
The Twisters,2.6,327,1h 26m,Action
The Last Kumite,4.6,2.3K,1h 45m,Action
Wynonna Earp: Vengeance,5.5,1.5K,1h 36m,Action
Jacob Tyler,4.3,56,2h 13m,Action
Hellhound,4.3,502,1h 43m,Action
Handsome Guys,6.5,802,1h 41m,Action
Zero,6.1,41,1h 28m,Action
Fight Another Day,4.9,345,1h 37m,Action
Wanted Man,4.8,2.6K,1h 25m,Action
Paradox Effect,6.0,8.6K,1h 27m,Action
