Title,Rating,Votes,Duration,Genre
,,,,Romance
Siddharth Roy,6.4,2.9K,2h 28m,Romance
The Holiday Junkie,6.3,445,1h 28m,Romance
She Taught Love,5.2,413,1h 42m,Romance
Ask Mevsimi,5.0,339,2h 6m,Romance
Kupu-Kupu Kertas,6.8,159,1h 53m,Romance
Mascarpone: The Rainbow Cake,6.1,496,1h 45m,Romance
One Night in Tokyo,7.5,69,1h 35m,Romance
Believe in Christmas,6.1,822,1h 30m,Romance
Switch Up,8.6,27,1h 45m,Romance
Love Story,4.9,390,2h 5m,Romance
Blue Sun Palace,6.5,129,1h 56m,Romance
When in Rome,6.1,738,1h 38m,Romance
Christmas in the Spotlight,5.8,664,1h 27m,Romance
Auron Mein Kahan Dum Tha,6.6,41K,2h 30m,Romance
Phir Aayi Hasseen Dillruba,5.8,6.8K,2h 12m,Romance
Viva La Vida,7.5,809,2h 10m,Romance
Snatched a Billionaire to Be My Husband,7.6,655,1h 10m,Romance
Albany Road,7.7,108,2h 15m,Romance
Marry Christmas,6.7,60,1h 25m,Romance
Umjolo: The Gone Girl,4.4,270,1h 32m,Romance
First Taste,6.0,283,1h 37m,Romance
Sex Love Venice,5.0,321,1h 42m,Romance
Karma's a Bitch,4.7,33,1h 29m,Romance
Stag,5.2,110,1h 27m,Romance
The Everything Pot,7.3,32,1h 30m,Romance
My Ex's Wedding,8.6,46,1h 35m,Romance
Else,6.1,230,1h 40m,Romance
A Merry Royal Christmas,5.2,144,1h 28m,Romance
Chainsaws Were Singing,7.2,355,1h 57m,Romance
