Title,Rating,Votes,Duration,Genre
Buffalo Kids,6.6,667,1h 33m,Comedy
"I, the Executioner",6.3,1.7K,1h 58m,Comedy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8K,1h 22m,Comedy
We're All Gonna Die,8.2,91,1h 50m,Comedy
The Empire,5.2,1.2K,1h 50m,Comedy
Ultraman: Rising,6.9,6.3K,1h 57m,Comedy
The Merry Gentlemen,4.8,10K,1h 27m,Comedy
Treasure,6.3,2K,1h 51m,Comedy
Bhool Bhulaiyaa 3,4.7,77K,2h 38m,Comedy
The Supremes at Earl's All-You-Can-Eat,6.4,1.4K,2h 4m,Comedy
Madgaon Express,7.0,41K,2h 23m,Comedy
Spread,5.7,648,1h 52m,Comedy
Khel Khel Mein,6.5,27K,2h 15m,Comedy
Officer Black Belt,6.8,8.1K,1h 48m,Comedy
Panda Plan,5.1,1.2K,1h 39m,Comedy
Bad Shabbos,7.5,163,1h 24m,Comedy
Autumn and the Black Jaguar,5.6,989,1h 40m,Comedy
Timestalker,5.5,2.9K,1h 29m,Comedy
Triumph,5.5,248,1h 38m,Comedy
The Gutter,5.5,491,1h 32m,Comedy
Sweet Dreams,5.4,1.4K,1h 35m,Comedy
How to Date Billy Walsh,5.2,3.9K,1h 38m,Comedy
I Love You Forever,5.6,173,1h 29m,Comedy
Nutcrackers,5.5,9.3K,1h 44m,Comedy
The Second Act,6.5,3.4K,1h 20m,Comedy
Rats!,6.5,114,1h 25m,Comedy
The Balconettes,6.3,796,1h 44m,Comedy
A Legend,4.7,885,2h 9m,Comedy
That Christmas,6.8,17K,1h 31m,Comedy
I Don't Understand You,7.2,72,1h 36m,Comedy
Der Vierer,5.3,170,1h 28m,Comedy
Blame the Game,5.4,5.1K,1h 32m,Comedy
Shell,6.7,69,1h 40m,Comedy
Drugstore June,5.3,1.7K,1h 31m,Comedy
Dan Da Dan: First Encounter,8.2,2.7K,1h 23m,Comedy
The Underdoggs,5.6,4.6K,1h 36m,Comedy
Between the Temples,6.3,2.9K,1h 51m,Comedy
Don't Tell Mom the Babysitter's Dead,3.8,1.2K,1h 39m,Comedy
200% Wolf,5.9,1.3K,1h 38m,Comedy
The Gentleman,7.9,96,1h 43m,Comedy
Desert Fiends,8.3,394,1h 46m,Comedy
Seize Them!,5.1,1.2K,1h 31m,Comedy
